,n,ori,A'_MPI,A'_AW,A'_V,A'_¦Ñ,A'_VIP,A'_Ha,A'_EI,A'_NI,A'_DMD,A_MPI,A_EN,A_VIP,A_DMD,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_R,B_IR,X_W,X_IR
33,3,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
34,4,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
35,4,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,6.11512817,0.37686461,-4.0225,2.1661,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
36,1,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,0,0,0,0,63.546,1.08,1.9,1.75,4.48,745.4,1958,3554,4.45,11,1356,2840,306.7,13,0.96,0.46,79.904,0.4
37,1,1,4.48606856,74.14494,123.65149,0.9957,-3.7122,10.9793,3.8561,-3.7469,8.68089,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
38,2,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,5.77081042,1.327623465,-4.7143,0.208408,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
39,2,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,5.77081042,1.327623465,-4.7143,0.208408,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
40,3,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,5.77081042,1.327623465,-4.7143,0.208408,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
41,2,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
42,3,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
43,2,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
44,3,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
45,4,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
46,4,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
47,5,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
48,6,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
49,7,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
50,3,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,6.11512817,0.37686461,-4.0225,2.1661,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,79.904,0.4
51,2,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,6.11512817,0.37686461,-4.0225,2.1661,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,0.65,1.03,126.905,0.65
52,1,1,8.44212381,90.16752,135.80644,1.1025,-6.6805,12.8233,6.6833,-8.6533,0.0001,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
