new ID,formula,bandgap,n,orientation,A'_MPI,A'_AW,A'_V,A'_R,A'_Rb,A'_ρ,A'_SA,A'_EN,A'_SE,A'_BT,A'_VIP,A'_VEA,A'_ME,A'_CP,A'_Ha,A'_So,A'_EI,A'_NI,A'_DMD,A'_DM,A_MPI,A_AW,A_V,A_R,A_Rb,A_ρ,A_SA,A_EN,A_SE,A_BT,A_VIP,A_VEA,A_ME,A_CP,A_Ha,A_So,A_EI,A_NI,A_DMD,A_DM,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_EA,B_R,B_RC,B_IR,X_W,X_E(m&b,X_E(p),X_E(a&R) ,X_E,X_EI1,X_EI2,X_EI3,X_Tm,X_Tb,X_EV,X_EM,X_EA,X_R,X_RC,X_IR
4,BA2MAn-1 Ge n I 3n+1,2.33,1,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,376.6,0.53,122,1,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
5,BA2MAn-1 Ge n I 3n+1,2.45,2,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,376.6,0.53,122,1,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
6,BA2MAn-1 Ge n I 3n+1,2.35,3,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,376.6,0.53,122,1,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
7,BA2MAn-1 Ge n I 3n+1,2.3,4,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,376.6,0.53,122,1,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
8, (BA)2(MA)Pb2Br7 ,2.45,2,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,79.904,2.83,2.8,2.74,7.59,1139.9,2103,3473,266,331.9,30.5,10.57,111.9,0.37,114,0.4
9,(BA)2(MA)n?1PbnI3n+1,2.215,1,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
10,(BA)2(MA)n?1PbnI3n+1,2.181111111,2,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
11,(BA)2(MA)n?1PbnI3n+1,1.81,3,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
12,(BA)2(MA)n?1PbnI3n+1,1.655714286,4,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
13,(BA)2(MA)n?1PbnI3n+1,1.83,5,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
